Palette: 6
waterColorOverride: 0.5019608, 0.40784314, 0.24313726
batDepleteCyclesMin: 2
batDepleteCyclesMax: 7
batDepleteCyclesMaxIfLessThanTwoLeft: 3
batDepleteCyclesMaxIfLessThanFiveLeft: 4
overseersSpawnChance: 0.01
overseersMin: 0
overseersMax: 1
earlyCycleChance: 0.0
earlyCycleFloodChance: 0.0
playerGuideOverseerSpawnChance: 0.01
pupSpawnChance: 0.1
Subregion: Solitary Towers
Subregion: Forgotten Conduit
Room Setting Templates: Outside, Inside, Gutter

Room_Attr: CC_A02: CyanLizard-Avoid,BigSpider-Avoid,SpitterSpider-Avoid,MirosVulture-Avoid,
Room_Attr: CC_A07_EARLYFALL: PinkLizard-Like,CyanLizard-Like,BigSpider-Avoid,SpitterSpider-Avoid,
Room_Attr: CC_A10_EARLYFALL: WhiteLizard-Like,Vulture-Like,SmallNeedleWorm-Like,BigNeedleWorm-Like,KingVulture-Like,
Room_Attr: CC_A12_EARLYFALL: SmallNeedleWorm-Avoid,BigNeedleWorm-Avoid,
Room_Attr: CC_A15_EARLYFALL: StandardGroundCreature-Avoid,Slugcat-Avoid,LizardTemplate-Avoid,PinkLizard-Avoid,GreenLizard-Avoid,BlueLizard-Avoid,YellowLizard-Avoid,WhiteLizard-Avoid,RedLizard-Avoid,BlackLizard-Avoid,Salamander-Avoid,CyanLizard-Avoid,Fly-Avoid,Leech-Avoid,SeaLeech-Avoid,Snail-Avoid,Vulture-Avoid,GarbageWorm-Avoid,LanternMouse-Avoid,CicadaA-Avoid,CicadaB-Avoid,Spider-Avoid,JetFish-Avoid,BigEel-Avoid,Deer-Avoid,TubeWorm-Avoid,DaddyLongLegs-Avoid,BrotherLongLegs-Avoid,TentaclePlant-Avoid,PoleMimic-Avoid,MirosBird-Avoid,TempleGuard-Avoid,Centipede-Avoid,RedCentipede-Avoid,Centiwing-Avoid,SmallCentipede-Avoid,Scavenger-Avoid,Overseer-Avoid,VultureGrub-Avoid,EggBug-Avoid,BigSpider-Avoid,SpitterSpider-Avoid,SmallNeedleWorm-Forbidden,BigNeedleWorm-Forbidden,DropBug-Avoid,KingVulture-Avoid,Hazer-Avoid,MirosVulture-Avoid,SpitLizard-Avoid,EelLizard-Avoid,MotherSpider-Avoid,TerrorLongLegs-Avoid,AquaCenti-Avoid,HunterDaddy-Avoid,FireBug-Avoid,StowawayBug-Avoid,ScavengerElite-Avoid,Inspector-Avoid,Yeek-Avoid,BigJelly-Avoid,SlugNPC-Avoid,JungleLeech-Avoid,ZoopLizard-Avoid,ScavengerKing-Avoid,TrainLizard-Avoid,
Room_Attr: CC_A16: SmallNeedleWorm-Avoid,BigNeedleWorm-Avoid,

Room_Attr: CC_B01: PinkLizard-Like,WhiteLizard-Like,SmallNeedleWorm-Like,BigNeedleWorm-Like,MirosVulture-Like,
Room_Attr: CC_B04: WhiteLizard-Like,Vulture-Like,SmallNeedleWorm-Like,BigNeedleWorm-Like,KingVulture-Like,
Room_Attr: CC_B05_EARLYFALL: PinkLizard-Like,WhiteLizard-Like,SmallNeedleWorm-Like,BigNeedleWorm-Like,
Room_Attr: CC_B06_EARLYFALL: PinkLizard-Avoid,WhiteLizard-Avoid,CyanLizard-Avoid,BigSpider-Like,SpitterSpider-Like,SmallNeedleWorm-Avoid,BigNeedleWorm-Avoid,
Room_Attr: CC_B08_EARLYFALL: PinkLizard-Like,WhiteLizard-Like,MirosVulture-Avoid,
Room_Attr: CC_B10_EARLYFALL: BlueLizard-Avoid,WhiteLizard-Avoid,Salamander-Forbidden,Vulture-Forbidden,Centipede-Forbidden,Centiwing-Forbidden,SmallCentipede-Forbidden,BigSpider-Like,SpitterSpider-Like,SmallNeedleWorm-Avoid,BigNeedleWorm-Avoid,KingVulture-Forbidden,MirosVulture-Forbidden,
Room_Attr: CC_B11_EARLYFALL: PinkLizard-Avoid,GreenLizard-Like,WhiteLizard-Avoid,CyanLizard-Avoid,Centipede-Forbidden,Centiwing-Forbidden,SmallCentipede-Forbidden,BigSpider-Stay,SpitterSpider-Stay,SmallNeedleWorm-Avoid,BigNeedleWorm-Avoid,MirosVulture-Forbidden,
Room_Attr: CC_B12_EARLYFALL: CyanLizard-Avoid,SmallNeedleWorm-Like,BigNeedleWorm-Like,MirosVulture-Avoid,
Room_Attr: CC_B13_EARLYFALL: SmallNeedleWorm-Like,BigNeedleWorm-Like,MirosVulture-Avoid,
Room_Attr: CC_B14_EARLYFALL: Salamander-Forbidden,Centipede-Forbidden,Centiwing-Forbidden,SmallCentipede-Forbidden,SmallNeedleWorm-Like,BigNeedleWorm-Like,MirosVulture-Avoid,



Room_Attr: CC_C03_EARLYFALL: PinkLizard-Avoid,GreenLizard-Like,CyanLizard-Forbidden,Centipede-Forbidden,Centiwing-Forbidden,SmallCentipede-Forbidden,BigSpider-Avoid,SpitterSpider-Avoid,SmallNeedleWorm-Avoid,BigNeedleWorm-Avoid,
Room_Attr: CC_C04_EARLYFALL: WhiteLizard-Like,Vulture-Like,SmallNeedleWorm-Like,BigNeedleWorm-Like,KingVulture-Like,MirosVulture-Like,
